,WaveformDecomposition.stop_methode,WaveformDecomposition.stop_region,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,WaveformDecomposition.search_range,WaveformDecomposition.search_edge,MipTimeRetrieval.window_threshold,MipTimeRetrieval.window_length,MipTimeRetrieval.timing_type,MipTimeRetrieval.constant_fraction,MipTimeRetrieval.pe_hit_time,SystematicsStudy.threshold_tres,SystematicsStudy.range_time,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
0,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.2,4,0.5540476040682123,0.456276477877019,0.47958181008459316,0.441609240923792,1.1598328343611477,-0.4162103234257956
1,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.2,6,0.5540476040682123,0.456276477877019,0.47958181008459316,0.441609240923792,1.244965215390759,-0.4687226691248116
2,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.2,8,0.5540476040682123,0.456276477877019,0.47958181008459316,0.441609240923792,1.3195920849891476,-0.48905062111466113
3,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.4,4,0.5540476040682123,0.456276477877019,0.47958181008459316,0.441609240923792,1.22671254830754,-0.41284999529927174
4,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.4,6,0.5540476040682123,0.456276477877019,0.47958181008459316,0.441609240923792,1.43268272461902,-0.5027632715172726
5,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.4,8,0.5540476040682123,0.456276477877019,0.47958181008459316,0.441609240923792,1.4802359261863376,-0.5277577188272151
6,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.6,4,0.5540476040682123,0.456276477877019,0.47958181008459316,0.441609240923792,1.2230605573425368,-0.4786270561775425
7,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.6,6,0.5540476040682123,0.456276477877019,0.47958181008459316,0.441609240923792,1.358466894070975,-0.5668192777577692
8,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.6,8,0.5540476040682123,0.456276477877019,0.47958181008459316,0.441609240923792,1.3792943325962235,-0.5732106990255045
9,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.3,0,0.2,4,0.5541093556440184,0.4559987132991729,0.4794071381731849,0.4417278497552437,1.117839852695965,-0.44336343746219736
10,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.3,0,0.2,6,0.5541093556440184,0.4559987132991729,0.4794071381731849,0.4417278497552437,1.2030842684393475,-0.4787974951388859
11,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.3,0,0.2,8,0.5541093556440184,0.4559987132991729,0.4794071381731849,0.4417278497552437,1.251141529475326,-0.49140440697035964
12,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.3,0,0.4,4,0.5541093556440184,0.4559987132991729,0.4794071381731849,0.4417278497552437,1.1859693982162447,-0.4173016443076065
