,SignalTagging.bins_over_threshold,SignalTagging.threshold,SignalTagging.signal_length,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,MipTimeRetrieval.window_length,MipTimeRetrieval.timing_type,MipTimeRetrieval.constant_fraction,MipTimeRetrieval.pe_hit_time,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
0,1.0,11.7,375.0,0.5,4.0,24.0,constant fraction,0.1,0,1.0053335273015078,0.8152248709768907,0.787092391488616,0.9448138297612009,0.8955022426783428,-0.08585437963753775
1,1.0,11.7,375.0,0.5,4.0,24.0,constant fraction,0.2,0,1.0053335273015078,0.8152248709768907,0.787092391488616,0.9448138297612009,0.9243265741224277,-0.11893647163680035
2,1.0,11.7,375.0,0.5,4.0,24.0,constant fraction,0.3,0,1.0053335273015078,0.8152248709768907,0.787092391488616,0.9448138297612009,1.0400047577539406,-0.1591078318771242
3,1.0,11.7,375.0,0.5,4.0,24.0,constant fraction,0.5,0,1.0053335273015078,0.8152248708757672,0.787092391488616,0.9448138297612009,1.4400193891587887,-0.2092559727271465
4,1.0,11.7,375.0,0.5,4.0,24.0,pe hit time,0.5,1,1.0053335273015078,0.8152248709768907,0.787092391488616,0.9448138297612009,0.9514565784099264,-0.19822495744000343
5,1.0,11.7,375.0,0.5,4.0,24.0,pe hit time,0.5,2,1.0053335273015078,0.8152248708757672,0.787092391488616,0.9448138297612009,0.9228898395583183,-0.242073567847188
6,1.0,11.7,375.0,0.5,4.0,24.0,pe hit time,0.5,3,1.0053335273015078,0.8152248708757672,0.787092391488616,0.9448138297612009,1.0369802786628937,-0.2972054370270059
7,1.0,11.7,375.0,0.5,4.0,36.0,constant fraction,0.1,3,1.0445075969704214,0.8152248709885196,0.8116944876159614,0.9868085105867278,0.9010302647857634,-0.09842058880921994
8,1.0,11.7,375.0,0.5,4.0,36.0,constant fraction,0.2,3,1.0445075969704214,0.8152248709885196,0.8116944876159614,0.9868085105867278,0.9420262171444393,-0.1319681619977514
9,1.0,11.7,375.0,0.5,4.0,36.0,constant fraction,0.3,3,1.0445075969704214,0.8152248709885196,0.8116944876159614,0.9868085105867278,1.0741074606359873,-0.18713780779132969
10,1.0,11.7,375.0,0.5,4.0,36.0,constant fraction,0.5,3,1.0445075969704214,0.8152248709885196,0.8116944876159614,0.9868085105867278,1.527747259036755,-0.2537458211838447
11,1.0,11.7,375.0,0.5,4.0,36.0,pe hit time,0.5,1,1.0445075969704214,0.8152248709885196,0.8116944876159614,0.9868085105867278,0.9619809718930084,-0.20553235353964103
12,1.0,11.7,375.0,0.5,4.0,36.0,pe hit time,0.5,2,1.0445075969704214,0.8152248709885196,0.8116944876159614,0.9868085105867278,0.9443116502925104,-0.2510096537124725
13,1.0,11.7,375.0,0.5,4.0,36.0,pe hit time,0.5,3,1.0445075969704214,0.8152248709885196,0.8116944876159614,0.9868085105867278,1.0602488732431847,-0.3076680800337621
14,1.0,11.7,375.0,0.5,4.0,50.0,constant fraction,0.1,3,1.044507597052619,0.8302859016032679,0.8433423911569662,0.9868085106183807,0.905685492622183,-0.10003064104724772
15,1.0,11.7,375.0,0.5,4.0,50.0,constant fraction,0.2,3,1.044507597052619,0.8302859016032679,0.8433423911569662,0.9868085106183807,0.9542431131439347,-0.14096264370355396
