,WaveformDecomposition.stop_methode,WaveformDecomposition.stop_region,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,WaveformDecomposition.search_range,WaveformDecomposition.search_edge,MipTimeRetrieval.window_threshold,MipTimeRetrieval.window_length,MipTimeRetrieval.timing_type,MipTimeRetrieval.constant_fraction,MipTimeRetrieval.pe_hit_time,SystematicsStudy.threshold_tres,SystematicsStudy.range_time,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
0,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.5,4,0.03196888801001911,0.03930512422360249,0.03342198581560284,0.030864197530864192,1.3273451830388616,-0.26000018492903115
1,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.5,6,0.03196888801001911,0.03930512422360249,0.03342198581560284,0.030864197530864192,1.4753114900785373,-0.34176534454507324
2,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.3,0,0.5,4,0.03196888801001911,0.03930512422360249,0.03342198581560284,0.030864197530864192,1.2268331936020642,-0.277617932387583
3,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.3,0,0.5,6,0.03196888801001911,0.03930512422360249,0.03342198581560284,0.030864197530864192,1.325082682933468,-0.31382432927411047
4,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.5,0,0.5,4,0.03196888801001911,0.03930512422360249,0.03342198581560284,0.030864197530864192,1.2966697244831766,-0.3866513763384751
5,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.5,0,0.5,6,0.03196888801001911,0.03930512422360249,0.03342198581560284,0.030864197530864192,1.368974793802945,-0.3996258524187541
6,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,4.0,pe hit time,0.5,1,0.5,4,0.03196888801001911,0.03930512422360249,0.03342198581560284,0.030864197530864192,1.3325409865808153,-0.26712626095789427
7,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,4.0,pe hit time,0.5,1,0.5,6,0.03196888801001911,0.03930512422360249,0.03342198581560284,0.030864197530864192,1.4779361004133726,-0.3420799022220991
8,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,4.0,pe hit time,0.5,2,0.5,4,0.185153289999103,0.14164839770385343,0.11091848780527708,0.19451282225329408,1.2231217031054922,-0.21320412874779443
9,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,4.0,pe hit time,0.5,2,0.5,6,0.185153289999103,0.14164839770385343,0.11091848780527708,0.19451282225329408,1.3568389754673214,-0.2690735183943535
10,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,4.0,pe hit time,0.5,3,0.5,4,0.0674384643732351,0.03930512422360249,0.07134150923787604,0.030864197530864192,1.239040386279776,-0.1391670288984113
11,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,4.0,pe hit time,0.5,3,0.5,6,0.0674384643732351,0.03930512422360249,0.07134150923787604,0.030864197530864192,1.3497744414745376,-0.16956859456641418
12,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,12.0,constant fraction,0.1,3,0.5,4,0.8653022215336136,0.758718955266448,0.7667553193820582,0.672834628542099,2.063877218893108,-0.699591108394265
13,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,12.0,constant fraction,0.1,3,0.5,6,0.8653022215336136,0.758718955266448,0.7667553193820582,0.672834628542099,2.5951752937075967,-1.098070849641233
14,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,12.0,constant fraction,0.3,3,0.5,4,0.8653022214046896,0.7632824939456538,0.76675531927357,0.6477180369582527,1.159686645607316,-0.48743911995831074
15,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,12.0,constant fraction,0.3,3,0.5,6,0.8653022214046896,0.7632824939456538,0.76675531927357,0.6477180369582527,1.2112913543985213,-0.5004412861686189
16,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,12.0,constant fraction,0.5,3,0.5,4,0.865302221389005,0.7640517267758049,0.7667553192186669,0.6487115965603545,1.3872468290808757,-0.44010155356109393
17,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,12.0,constant fraction,0.5,3,0.5,6,0.865302221389005,0.7640517267758049,0.7667553192186669,0.6487115965603545,1.4287623156992828,-0.42847315957621396
18,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,12.0,pe hit time,0.5,1,0.5,4,0.8653022213852222,0.755832171829865,0.766755319402214,0.6711911464469621,2.414265574072079,-0.5601712810880466
19,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,12.0,pe hit time,0.5,1,0.5,6,0.8653022213852222,0.755832171829865,0.766755319402214,0.6711911464469621,2.842824033776387,-0.9710351466748539
20,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,12.0,pe hit time,0.5,2,0.5,4,0.8653022215843458,0.7605858576348417,0.7667553192654168,0.6747441978523843,1.2099068453146764,-0.35578054490534394
21,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,12.0,pe hit time,0.5,2,0.5,6,0.8653022215843458,0.7605858576348417,0.7667553192654168,0.6747441978523843,1.335498835726717,-0.4423839900250856
22,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,12.0,pe hit time,0.5,3,0.5,4,0.865302221488394,0.7605599284584116,0.7667553192632178,0.6746033280486515,1.2015495845062327,-0.3324478811690598
23,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,12.0,pe hit time,0.5,3,0.5,6,0.865302221488394,0.7605599284584116,0.7667553192632178,0.6746033280486515,1.2496106088149286,-0.322340027129206
24,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,36.0,constant fraction,0.1,3,0.5,4,1.1217124778306347,1.13305512436692,0.9667553192473247,0.895061728422496,1.6539309418524097,-0.43915099901938304
25,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,36.0,constant fraction,0.1,3,0.5,6,1.1217124778306347,1.13305512436692,0.9667553192473247,0.895061728422496,2.003606869924393,-0.5849122017507986
26,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,36.0,constant fraction,0.3,3,0.5,4,1.1217124779651548,1.1330551243338305,0.9667553193550958,0.8950617284021937,1.3004356995502844,-0.27742278046582075
27,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,36.0,constant fraction,0.3,3,0.5,6,1.1217124779651548,1.1330551243338305,0.9667553193550958,0.8950617284021937,1.3437319503154252,-0.24202131470832533
28,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,36.0,constant fraction,0.5,3,0.5,4,1.1217124777978853,1.1330551245684417,0.9667553193599923,0.8950617285203777,1.7435274359503135,0.08538034738677851
29,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,36.0,constant fraction,0.5,3,0.5,6,1.1217124777978853,1.1330551245684417,0.9667553193599923,0.8950617285203777,1.9067760180464846,0.18088954393493586
30,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,36.0,pe hit time,0.5,1,0.5,4,1.1217124778216911,1.1330551243928249,0.9667553193854154,0.8950617285193306,2.4748719032421493,-0.5803656165305799
31,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,36.0,pe hit time,0.5,1,0.5,6,1.1217124778216911,1.1330551243928249,0.9667553193854154,0.8950617285193306,2.816824258426056,-0.9341598996213226
32,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,36.0,pe hit time,0.5,2,0.5,4,1.121712478085643,1.1330551245760547,0.9667553193802146,0.8950617285827255,1.2768816762787827,-0.3497063518645768
33,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,36.0,pe hit time,0.5,2,0.5,6,1.121712478085643,1.1330551245760547,0.9667553193802146,0.8950617285827255,1.3937797114851656,-0.40933758032910733
34,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,36.0,pe hit time,0.5,3,0.5,4,1.1217124777626322,1.1330551245723564,0.9667553194505509,0.8950617284139621,1.2470800012374643,-0.32828562166272823
35,2.0,5.0,1.5,4.0,1000.0,200.0,1.0,36.0,pe hit time,0.5,3,0.5,6,1.1217124777626322,1.1330551245723564,0.9667553194505509,0.8950617284139621,1.319066968764054,-0.3059927832274324
36,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,4.0,constant fraction,0.1,3,0.5,4,0.46081213111150643,0.26237781216297823,0.4332420649481222,0.35618581783157965,1.3273451830388616,-0.26000018492903115
37,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,4.0,constant fraction,0.1,3,0.5,6,0.46081213111150643,0.26237781216297823,0.4332420649481222,0.35618581783157965,1.4753114900785373,-0.34176534454507324
38,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,4.0,constant fraction,0.3,3,0.5,4,0.4608269413535865,0.26213794218180886,0.4335310284300749,0.35642768093365806,1.2262440719213583,-0.2803978628828086
39,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,4.0,constant fraction,0.3,3,0.5,6,0.4608269413535865,0.26213794218180886,0.4335310284300749,0.35642768093365806,1.3247032990563465,-0.316533258015295
40,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,4.0,constant fraction,0.5,3,0.5,4,0.46113055215397897,0.2623560057465222,0.4337954780004602,0.35650593068029934,1.2966697244831766,-0.3866513763384751
41,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,4.0,constant fraction,0.5,3,0.5,6,0.46113055215397897,0.2623560057465222,0.4337954780004602,0.35650593068029934,1.368974793802945,-0.3996258524187541
42,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,4.0,pe hit time,0.5,1,0.5,4,0.4603974433839879,0.26208887786080415,0.4331969869338138,0.3561004544416726,1.3325409865808153,-0.26712626095789427
43,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,4.0,pe hit time,0.5,1,0.5,6,0.4603974433839879,0.26208887786080415,0.4331969869338138,0.3561004544416726,1.4779361004133726,-0.3420799022220991
44,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,4.0,pe hit time,0.5,2,0.5,4,0.4599679454218578,0.261647298920971,0.43307868052116666,0.35597952299720176,1.2312616635814742,-0.20450672677488788
45,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,4.0,pe hit time,0.5,2,0.5,6,0.4599679454218578,0.261647298920971,0.43307868052116666,0.35597952299720176,1.3678134416150645,-0.2635945394934871
46,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,4.0,pe hit time,0.5,3,0.5,4,0.4985497115046992,0.2981356269672797,0.4463028979793544,0.37418326380621814,1.2441108323800474,-0.14402070140072087
47,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,4.0,pe hit time,0.5,3,0.5,6,0.4985497115046992,0.2981356269672797,0.4463028979793544,0.37418326380621814,1.3546156178965263,-0.17100744046875396
48,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,12.0,constant fraction,0.1,3,0.5,4,0.865302221518085,0.7596898755480799,0.7667553193921852,0.6440202027753499,2.063877218893108,-0.699591108394265
49,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,12.0,constant fraction,0.1,3,0.5,6,0.865302221518085,0.7596898755480799,0.7667553193921852,0.6440202027753499,2.5951752937075967,-1.098070849641233
50,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,12.0,constant fraction,0.3,3,0.5,4,0.8653022214242055,0.764008511507007,0.7667553194118855,0.6480392631733848,1.159686645607316,-0.48743911995831074
51,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,12.0,constant fraction,0.3,3,0.5,6,0.8653022214242055,0.764008511507007,0.7667553194118855,0.6480392631733848,1.2112913543985213,-0.5004412861686189
52,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,12.0,constant fraction,0.5,3,0.5,4,0.8653022215008588,0.7647431717701172,0.766755319403251,0.6491149966001466,1.3872468290808757,-0.44010155356109393
53,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,12.0,constant fraction,0.5,3,0.5,6,0.8653022215008588,0.7647431717701172,0.766755319403251,0.6491149966001466,1.4287623156992828,-0.42847315957621396
54,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,12.0,pe hit time,0.5,1,0.5,4,0.865302221439525,0.7567310506692912,0.7667553193157262,0.6425410689802965,2.414265574072079,-0.5601712810880466
55,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,12.0,pe hit time,0.5,1,0.5,6,0.865302221439525,0.7567310506692912,0.7667553193157262,0.6425410689802965,2.842824033776387,-0.9710351466748539
56,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,12.0,pe hit time,0.5,2,0.5,4,0.8653022214272844,0.7611476570233834,0.7667553192459652,0.6463210774403954,1.2099068453146764,-0.35578054490534394
57,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,12.0,pe hit time,0.5,2,0.5,6,0.8653022214272844,0.7611476570233834,0.7667553192459652,0.6463210774403954,1.335498835726717,-0.4423839900250856
58,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,12.0,pe hit time,0.5,3,0.5,4,0.8653022214576273,0.7611995153955378,0.766755319346621,0.6462015515960683,1.2015495845062327,-0.3324478811690598
59,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,12.0,pe hit time,0.5,3,0.5,6,0.8653022214576273,0.7611995153955378,0.766755319346621,0.6462015515960683,1.2496106088149286,-0.322340027129206
60,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,36.0,constant fraction,0.1,3,0.5,4,1.1217124779011125,1.1330551245182452,0.9667553193362649,0.8950617285288308,1.6539309418524097,-0.43915099901938304
61,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,36.0,constant fraction,0.1,3,0.5,6,1.1217124779011125,1.1330551245182452,0.9667553193362649,0.8950617285288308,2.003606869924393,-0.5849122017507986
62,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,36.0,constant fraction,0.3,3,0.5,4,1.1217124778105365,1.1330551245856817,0.9667553192483581,0.8950617286054334,1.3004356995502844,-0.27742278046582075
63,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,36.0,constant fraction,0.3,3,0.5,6,1.1217124778105365,1.1330551245856817,0.9667553192483581,0.8950617286054334,1.3437319503154252,-0.24202131470832533
64,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,36.0,constant fraction,0.5,3,0.5,4,1.1217124780726317,1.1330551242360778,0.9667553192651753,0.8950617285834616,1.7435274359503135,0.08538034738677851
65,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,36.0,constant fraction,0.5,3,0.5,6,1.1217124780726317,1.1330551242360778,0.9667553192651753,0.8950617285834616,1.9067760180464846,0.18088954393493586
66,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,36.0,pe hit time,0.5,1,0.5,4,1.1217124777548226,1.133055124443524,0.9667553193381297,0.8950617286385975,2.4748719032421493,-0.5803656165305799
67,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,36.0,pe hit time,0.5,1,0.5,6,1.1217124777548226,1.133055124443524,0.9667553193381297,0.8950617286385975,2.816824258426056,-0.9341598996213226
68,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,36.0,pe hit time,0.5,2,0.5,4,1.121712478072037,1.1330551245763905,0.9667553194794257,0.89506172858538,1.2768816762787827,-0.3497063518645768
69,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,36.0,pe hit time,0.5,2,0.5,6,1.121712478072037,1.1330551245763905,0.9667553194794257,0.89506172858538,1.3937797114851656,-0.40933758032910733
70,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,36.0,pe hit time,0.5,3,0.5,4,1.1217124779033356,1.1330551243143858,0.9667553192689463,0.8950617285752498,1.2470800012374643,-0.32828562166272823
71,2.0,5.0,1.5,4.0,1000.0,200.0,2.0,36.0,pe hit time,0.5,3,0.5,6,1.1217124779033356,1.1330551243143858,0.9667553192689463,0.8950617285752498,1.319066968764054,-0.3059927832274324
72,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,4.0,constant fraction,0.1,3,0.5,4,0.48247844511892773,0.3028507350288054,0.3549460719848644,0.3380382461244127,1.370360114615632,-0.25187961254738817
73,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,4.0,constant fraction,0.1,3,0.5,6,0.48247844511892773,0.3028507350288054,0.3549460719848644,0.3380382461244127,1.521127880449319,-0.33144267630505325
74,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,4.0,constant fraction,0.3,3,0.5,4,0.4823622104445707,0.30272218034461584,0.35509730703870684,0.3382948795385312,1.2436899218564401,-0.24132678722384898
75,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,4.0,constant fraction,0.3,3,0.5,6,0.4823622104445707,0.30272218034461584,0.35509730703870684,0.3382948795385312,1.3418033158105667,-0.27806083212032273
76,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,4.0,constant fraction,0.5,3,0.5,4,0.48258652753142034,0.30265320983393773,0.3551133403613924,0.3383202916921627,1.31470928360383,-0.3942653679823869
77,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,4.0,constant fraction,0.5,3,0.5,6,0.48258652753142034,0.30265320983393773,0.3551133403613924,0.3383202916921627,1.3856817152661647,-0.39997932935098307
78,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,4.0,pe hit time,0.5,1,0.5,4,0.48198367611145926,0.30266865935584675,0.3548668246225133,0.3379866389362,1.3810855400690631,-0.26373848012691725
79,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,4.0,pe hit time,0.5,1,0.5,6,0.48198367611145926,0.30266865935584675,0.3548668246225133,0.3379866389362,1.5249510021806496,-0.33262207447781955
80,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,4.0,pe hit time,0.5,2,0.5,4,0.48176100881375317,0.3023258789031426,0.3546839686511063,0.33796737391472426,1.2505599934724065,-0.16069145008526406
81,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,4.0,pe hit time,0.5,2,0.5,6,0.48176100881375317,0.3023258789031426,0.3546839686511063,0.33796737391472426,1.3873887272700487,-0.2195490904802134
82,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,4.0,pe hit time,0.5,3,0.5,4,0.48194006091693853,0.30236411505780125,0.35470301541183136,0.33788346901238386,1.2504991911106853,-0.11701590355321616
83,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,4.0,pe hit time,0.5,3,0.5,6,0.48194006091693853,0.30236411505780125,0.35470301541183136,0.33788346901238386,1.370385524679756,-0.14439038798160198
